"A new item has been added to your Shopping Cart. ","Der Artikel wurde Ihrem Warenkorb hinzugefügt. "
"You now have %s items in your Shopping Cart.","Sie haben %s Artikel in Ihrem Warenkorb."
"View Shopping Cart","Warenkorb ansehen"
"Continue Shopping","Mit dem Einkaufen fortfahren"
"Other Items You Might Be Interested In:","Kunden, die diesen Artikel gekauft haben, kauften auch:"
Close,Schließen
"Incl. Tax, plus shipping","Inkl. MwSt., zzgl. Versand"
